"Region","region","Tid","Alder","ledige"
"135","11","Rogaland","2010M03","15-74",2.7
"136","11","Rogaland","2010M04","15-74",2.5
"137","11","Rogaland","2010M05","15-74",2.2
"138","11","Rogaland","2010M06","15-74",2.2
"139","11","Rogaland","2010M07","15-74",2.3
"140","11","Rogaland","2010M08","15-74",2.3
"141","11","Rogaland","2010M09","15-74",2.2
"142","11","Rogaland","2010M10","15-74",2.2
"143","11","Rogaland","2010M11","15-74",2.2
"144","11","Rogaland","2010M12","15-74",2.3
"145","11","Rogaland","1999M01","15-29",2.6
"146","11","Rogaland","1999M02","15-29",2.5
"147","11","Rogaland","1999M03","15-29",2.4
"148","11","Rogaland","1999M04","15-29",2.4
"149","11","Rogaland","1999M05","15-29",2
"150","11","Rogaland","1999M06","15-29",2.6
"151","11","Rogaland","1999M07","15-29",3.2
"152","11","Rogaland","1999M08","15-29",3.4
"153","11","Rogaland","1999M09","15-29",3
"154","11","Rogaland","1999M10","15-29",3
"155","11","Rogaland","1999M11","15-29",3
"156","11","Rogaland","1999M12","15-29",3.2
"157","11","Rogaland","2000M01","15-29",3.9
"158","11","Rogaland","2000M02","15-29",3.7
"159","11","Rogaland","2000M03","15-29",3.6
"160","11","Rogaland","2000M04","15-29",3.5
"161","11","Rogaland","2000M05","15-29",3.7
"162","11","Rogaland","2000M06","15-29",4
"163","11","Rogaland","2000M07","15-29",4.5
"164","11","Rogaland","2000M08","15-29",4.6
"165","11","Rogaland","2000M09","15-29",4.2
"166","11","Rogaland","2000M10","15-29",4.2
"167","11","Rogaland","2000M11","15-29",4.3
"168","11","Rogaland","2000M12","15-29",4.4
"169","11","Rogaland","2001M01","15-29",4.8
"170","11","Rogaland","2001M02","15-29",4.4
"171","11","Rogaland","2001M03","15-29",4
"172","11","Rogaland","2001M04","15-29",3.6
"173","11","Rogaland","2001M05","15-29",3.3
"174","11","Rogaland","2001M06","15-29",3.7
"175","11","Rogaland","2001M07","15-29",3.9
"176","11","Rogaland","2001M08","15-29",4.3
"177","11","Rogaland","2001M09","15-29",4
"178","11","Rogaland","2001M10","15-29",4
"179","11","Rogaland","2001M11","15-29",4
"180","11","Rogaland","2001M12","15-29",4
"181","11","Rogaland","2002M01","15-29",5
"182","11","Rogaland","2002M02","15-29",4.5
"183","11","Rogaland","2002M03","15-29",4.5
"184","11","Rogaland","2002M04","15-29",4.2
"185","11","Rogaland","2002M05","15-29",4.2
"186","11","Rogaland","2002M06","15-29",4.4
"187","11","Rogaland","2002M07","15-29",4.9
"188","11","Rogaland","2002M08","15-29",5
"189","11","Rogaland","2002M09","15-29",4.6
"190","11","Rogaland","2002M10","15-29",4.7
"191","11","Rogaland","2002M11","15-29",4.6
"192","11","Rogaland","2002M12","15-29",4.6
"193","11","Rogaland","2003M01","15-29",5.7
"194","11","Rogaland","2003M02","15-29",5.4
"195","11","Rogaland","2003M03","15-29",5.1
"196","11","Rogaland","2003M04","15-29",5
"197","11","Rogaland","2003M05","15-29",4.8
"198","11","Rogaland","2003M06","15-29",5.5
"199","11","Rogaland","2003M07","15-29",5.5
"200","11","Rogaland","2003M08","15-29",6.1
"201","11","Rogaland","2003M09","15-29",5.7
"202","11","Rogaland","2003M10","15-29",5.5
"203","11","Rogaland","2003M11","15-29",5.3
"204","11","Rogaland","2003M12","15-29",5.2
"205","11","Rogaland","2004M01","15-29",6.1
"206","11","Rogaland","2004M02","15-29",5.7
"207","11","Rogaland","2004M03","15-29",5.3
"208","11","Rogaland","2004M04","15-29",5
"209","11","Rogaland","2004M05","15-29",4.6
"210","11","Rogaland","2004M06","15-29",4.9
"211","11","Rogaland","2004M07","15-29",5.2
"212","11","Rogaland","2004M08","15-29",5.1
"213","11","Rogaland","2004M09","15-29",5.1
"214","11","Rogaland","2004M10","15-29",4.9
"215","11","Rogaland","2004M11","15-29",4.6
"216","11","Rogaland","2004M12","15-29",4.6
"217","11","Rogaland","2005M01","15-29",5.5
"218","11","Rogaland","2005M02","15-29",5.2
"219","11","Rogaland","2005M03","15-29",5
"220","11","Rogaland","2005M04","15-29",4.5
"221","11","Rogaland","2005M05","15-29",4
"222","11","Rogaland","2005M06","15-29",4.3
"223","11","Rogaland","2005M07","15-29",4.6
"224","11","Rogaland","2005M08","15-29",4.6
"225","11","Rogaland","2005M09","15-29",4.2
"226","11","Rogaland","2005M10","15-29",4.1
"227","11","Rogaland","2005M11","15-29",3.5
"228","11","Rogaland","2005M12","15-29",3.5
"229","11","Rogaland","2006M01","15-29",3.6
"230","11","Rogaland","2006M02","15-29",3.2
"231","11","Rogaland","2006M03","15-29",3.1
"232","11","Rogaland","2006M04","15-29",2.7
"233","11","Rogaland","2006M05","15-29",2.5
"234","11","Rogaland","2006M06","15-29",2.6
"235","11","Rogaland","2006M07","15-29",2.9
"236","11","Rogaland","2006M08","15-29",2.7
"237","11","Rogaland","2006M09","15-29",2.5
"238","11","Rogaland","2006M10","15-29",2.1
"239","11","Rogaland","2006M11","15-29",1.9
"240","11","Rogaland","2006M12","15-29",1.9
"241","11","Rogaland","2007M01","15-29",2.1
"242","11","Rogaland","2007M02","15-29",2
"243","11","Rogaland","2007M03","15-29",1.8
"244","11","Rogaland","2007M04","15-29",1.7
"245","11","Rogaland","2007M05","15-29",1.4
"246","11","Rogaland","2007M06","15-29",1.6
"247","11","Rogaland","2007M07","15-29",1.6
"248","11","Rogaland","2007M08","15-29",1.6
"249","11","Rogaland","2007M09","15-29",1.4
"250","11","Rogaland","2007M10","15-29",1.4
"251","11","Rogaland","2007M11","15-29",1.3
"252","11","Rogaland","2007M12","15-29",1.3
"253","11","Rogaland","2008M01","15-29",1.5
"254","11","Rogaland","2008M02","15-29",1.5
"255","11","Rogaland","2008M03","15-29",1.4
"256","11","Rogaland","2008M04","15-29",1.3
"257","11","Rogaland","2008M05","15-29",1.3
"258","11","Rogaland","2008M06","15-29",1.3
"259","11","Rogaland","2008M07","15-29",1.3
"260","11","Rogaland","2008M08","15-29",1.4
"261","11","Rogaland","2008M09","15-29",1.4
"262","11","Rogaland","2008M10","15-29",1.5
"263","11","Rogaland","2008M11","15-29",1.5
"264","11","Rogaland","2008M12","15-29",1.7
"265","11","Rogaland","2009M01","15-29",2.1
"266","11","Rogaland","2009M02","15-29",2.3
"267","11","Rogaland","2009M03","15-29",2.6
"268","11","Rogaland","2009M04","15-29",2.6
