"10540: Registrerte arbeidsledige (prosent), etter region, alder, måned og statistikkvariabel"

"region";"alder";"måned";"Registrert helt arbeidsledige"
"1121 Time";"15-74 år";"2001M03";1.8
"1121 Time";"15-74 år";"2001M04";1.3
"1121 Time";"15-74 år";"2001M05";1.2
"1121 Time";"15-74 år";"2001M06";1.2
"1121 Time";"15-74 år";"2001M07";1.5
"1121 Time";"15-74 år";"2001M08";1.6
"1121 Time";"15-74 år";"2001M09";1.9
"1121 Time";"15-74 år";"2001M10";2.0
"1121 Time";"15-74 år";"2001M11";1.9
"1121 Time";"15-74 år";"2001M12";1.8
"1121 Time";"15-74 år";"2002M01";1.9
"1121 Time";"15-74 år";"2002M02";2.1
"1121 Time";"15-74 år";"2002M03";2.0
"1121 Time";"15-74 år";"2002M04";1.9
"1121 Time";"15-74 år";"2002M05";1.9
"1121 Time";"15-74 år";"2002M06";1.9
"1121 Time";"15-74 år";"2002M07";2.3
"1121 Time";"15-74 år";"2002M08";2.3
"1121 Time";"15-74 år";"2002M09";2.1
"1121 Time";"15-74 år";"2002M10";2.0
"1121 Time";"15-74 år";"2002M11";2.2
"1121 Time";"15-74 år";"2002M12";2.1
"1122 Gjesdal";"15-74 år";"1999M01";1.3
"1122 Gjesdal";"15-74 år";"1999M02";1.2
"1122 Gjesdal";"15-74 år";"1999M03";1.2
"1122 Gjesdal";"15-74 år";"1999M04";1.0
"1122 Gjesdal";"15-74 år";"1999M05";1.4
"1122 Gjesdal";"15-74 år";"1999M06";1.4
"1122 Gjesdal";"15-74 år";"1999M07";1.4
"1122 Gjesdal";"15-74 år";"1999M08";1.5
"1122 Gjesdal";"15-74 år";"1999M09";1.7
"1122 Gjesdal";"15-74 år";"1999M10";1.5
"1122 Gjesdal";"15-74 år";"1999M11";1.3
"1122 Gjesdal";"15-74 år";"1999M12";1.6
"1122 Gjesdal";"15-74 år";"2000M01";2.0
"1122 Gjesdal";"15-74 år";"2000M02";2.0
"1122 Gjesdal";"15-74 år";"2000M03";1.9
"1122 Gjesdal";"15-74 år";"2000M04";2.1
"1122 Gjesdal";"15-74 år";"2000M05";1.8
"1122 Gjesdal";"15-74 år";"2000M06";1.9
"1122 Gjesdal";"15-74 år";"2000M07";2.1
"1122 Gjesdal";"15-74 år";"2000M08";2.2
"1122 Gjesdal";"15-74 år";"2000M09";2.0
"1122 Gjesdal";"15-74 år";"2000M10";2.1
"1122 Gjesdal";"15-74 år";"2000M11";2.7
"1122 Gjesdal";"15-74 år";"2000M12";2.6
"1122 Gjesdal";"15-74 år";"2001M01";2.3
"1122 Gjesdal";"15-74 år";"2001M02";2.0
"1122 Gjesdal";"15-74 år";"2001M03";1.9
"1122 Gjesdal";"15-74 år";"2001M04";1.7
"1122 Gjesdal";"15-74 år";"2001M05";1.5
"1122 Gjesdal";"15-74 år";"2001M06";1.5
"1122 Gjesdal";"15-74 år";"2001M07";1.7
"1122 Gjesdal";"15-74 år";"2001M08";1.9
"1122 Gjesdal";"15-74 år";"2001M09";2.0
"1122 Gjesdal";"15-74 år";"2001M10";2.1
"1122 Gjesdal";"15-74 år";"2001M11";1.7
"1122 Gjesdal";"15-74 år";"2001M12";1.9
"1122 Gjesdal";"15-74 år";"2002M01";2.2
"1122 Gjesdal";"15-74 år";"2002M02";1.9
"1122 Gjesdal";"15-74 år";"2002M03";2.1
"1122 Gjesdal";"15-74 år";"2002M04";2.1
"1122 Gjesdal";"15-74 år";"2002M05";1.8
"1122 Gjesdal";"15-74 år";"2002M06";1.8
"1122 Gjesdal";"15-74 år";"2002M07";2.2
"1122 Gjesdal";"15-74 år";"2002M08";2.2
"1122 Gjesdal";"15-74 år";"2002M09";1.8
"1122 Gjesdal";"15-74 år";"2002M10";2.3
"1122 Gjesdal";"15-74 år";"2002M11";2.5
"1122 Gjesdal";"15-74 år";"2002M12";2.7
"1124 Sola";"15-74 år";"1999M01";1.7
"1124 Sola";"15-74 år";"1999M02";1.6
"1124 Sola";"15-74 år";"1999M03";1.7
"1124 Sola";"15-74 år";"1999M04";1.7
"1124 Sola";"15-74 år";"1999M05";1.5
"1124 Sola";"15-74 år";"1999M06";1.8
"1124 Sola";"15-74 år";"1999M07";2.1
"1124 Sola";"15-74 år";"1999M08";2.1
"1124 Sola";"15-74 år";"1999M09";2.1
"1124 Sola";"15-74 år";"1999M10";2.0
"1124 Sola";"15-74 år";"1999M11";2.0
"1124 Sola";"15-74 år";"1999M12";2.2
"1124 Sola";"15-74 år";"2000M01";2.5
"1124 Sola";"15-74 år";"2000M02";2.4
"1124 Sola";"15-74 år";"2000M03";2.3
"1124 Sola";"15-74 år";"2000M04";2.1
"1124 Sola";"15-74 år";"2000M05";2.1
"1124 Sola";"15-74 år";"2000M06";2.4
"1124 Sola";"15-74 år";"2000M07";2.7
"1124 Sola";"15-74 år";"2000M08";2.5
"1124 Sola";"15-74 år";"2000M09";2.4
"1124 Sola";"15-74 år";"2000M10";2.5
"1124 Sola";"15-74 år";"2000M11";2.4
"1124 Sola";"15-74 år";"2000M12";2.5
"1124 Sola";"15-74 år";"2001M01";2.6
"1124 Sola";"15-74 år";"2001M02";2.5
"1124 Sola";"15-74 år";"2001M03";2.4
"1124 Sola";"15-74 år";"2001M04";2.0
"1124 Sola";"15-74 år";"2001M05";2.0
"1124 Sola";"15-74 år";"2001M06";2.0
"1124 Sola";"15-74 år";"2001M07";2.4
"1124 Sola";"15-74 år";"2001M08";2.5
"1124 Sola";"15-74 år";"2001M09";2.6
"1124 Sola";"15-74 år";"2001M10";2.3
"1124 Sola";"15-74 år";"2001M11";2.3
"1124 Sola";"15-74 år";"2001M12";2.4
"1124 Sola";"15-74 år";"2002M01";2.8
"1124 Sola";"15-74 år";"2002M02";2.8
"1124 Sola";"15-74 år";"2002M03";2.8
"1124 Sola";"15-74 år";"2002M04";2.6
"1124 Sola";"15-74 år";"2002M05";2.6
"1124 Sola";"15-74 år";"2002M06";2.6
"1124 Sola";"15-74 år";"2002M07";3.0
"1124 Sola";"15-74 år";"2002M08";3.3
"1124 Sola";"15-74 år";"2002M09";3.3
"1124 Sola";"15-74 år";"2002M10";3.1
"1124 Sola";"15-74 år";"2002M11";3.3
"1124 Sola";"15-74 år";"2002M12";3.1
"1127 Randaberg";"15-74 år";"1999M01";1.1
"1127 Randaberg";"15-74 år";"1999M02";1.0
"1127 Randaberg";"15-74 år";"1999M03";1.1
"1127 Randaberg";"15-74 år";"1999M04";1.1
"1127 Randaberg";"15-74 år";"1999M05";1.0
"1127 Randaberg";"15-74 år";"1999M06";1.1
"1127 Randaberg";"15-74 år";"1999M07";1.3
"1127 Randaberg";"15-74 år";"1999M08";1.5
"1127 Randaberg";"15-74 år";"1999M09";1.6
"1127 Randaberg";"15-74 år";"1999M10";1.5
"1127 Randaberg";"15-74 år";"1999M11";1.6
"1127 Randaberg";"15-74 år";"1999M12";1.4
"1127 Randaberg";"15-74 år";"2000M01";1.9
"1127 Randaberg";"15-74 år";"2000M02";1.6
"1127 Randaberg";"15-74 år";"2000M03";1.8
"1127 Randaberg";"15-74 år";"2000M04";1.7
"1127 Randaberg";"15-74 år";"2000M05";1.6
"1127 Randaberg";"15-74 år";"2000M06";2.0
"1127 Randaberg";"15-74 år";"2000M07";2.2
"1127 Randaberg";"15-74 år";"2000M08";2.1
"1127 Randaberg";"15-74 år";"2000M09";2.0
"1127 Randaberg";"15-74 år";"2000M10";1.7
"1127 Randaberg";"15-74 år";"2000M11";1.8
"1127 Randaberg";"15-74 år";"2000M12";2.0
"1127 Randaberg";"15-74 år";"2001M01";2.1
"1127 Randaberg";"15-74 år";"2001M02";1.8
"1127 Randaberg";"15-74 år";"2001M03";1.4
"1127 Randaberg";"15-74 år";"2001M04";1.5
"1127 Randaberg";"15-74 år";"2001M05";1.5
"1127 Randaberg";"15-74 år";"2001M06";1.6
"1127 Randaberg";"15-74 år";"2001M07";1.7
"1127 Randaberg";"15-74 år";"2001M08";1.7
"1127 Randaberg";"15-74 år";"2001M09";1.8
"1127 Randaberg";"15-74 år";"2001M10";1.7
"1127 Randaberg";"15-74 år";"2001M11";1.8
"1127 Randaberg";"15-74 år";"2001M12";1.8
"1127 Randaberg";"15-74 år";"2002M01";2.3
"1127 Randaberg";"15-74 år";"2002M02";2.0
"1127 Randaberg";"15-74 år";"2002M03";2.1
"1127 Randaberg";"15-74 år";"2002M04";1.8
"1127 Randaberg";"15-74 år";"2002M05";1.9
"1127 Randaberg";"15-74 år";"2002M06";2.3
"1127 Randaberg";"15-74 år";"2002M07";2.4
"1127 Randaberg";"15-74 år";"2002M08";2.2
"1127 Randaberg";"15-74 år";"2002M09";2.1
"1127 Randaberg";"15-74 år";"2002M10";2.3
"1127 Randaberg";"15-74 år";"2002M11";2.5
"1127 Randaberg";"15-74 år";"2002M12";2.6
"1129 Forsand (-2019)";"15-74 år";"1999M01";1.7
"1129 Forsand (-2019)";"15-74 år";"1999M02";1.3
"1129 Forsand (-2019)";"15-74 år";"1999M03";1.5
"1129 Forsand (-2019)";"15-74 år";"1999M04";1.5
"1129 Forsand (-2019)";"15-74 år";"1999M05";0.8
"1129 Forsand (-2019)";"15-74 år";"1999M06";1.0
"1129 Forsand (-2019)";"15-74 år";"1999M07";0.8
"1129 Forsand (-2019)";"15-74 år";"1999M08";1.0
"1129 Forsand (-2019)";"15-74 år";"1999M09";1.1
"1129 Forsand (-2019)";"15-74 år";"1999M10";1.3
"1129 Forsand (-2019)";"15-74 år";"1999M11";1.1
"1129 Forsand (-2019)";"15-74 år";"1999M12";1.5
"1129 Forsand (-2019)";"15-74 år";"2000M01";1.5
"1129 Forsand (-2019)";"15-74 år";"2000M02";1.1
"1129 Forsand (-2019)";"15-74 år";"2000M03";2.0
"1129 Forsand (-2019)";"15-74 år";"2000M04";1.9
"1129 Forsand (-2019)";"15-74 år";"2000M05";1.5
"1129 Forsand (-2019)";"15-74 år";"2000M06";1.3
"1129 Forsand (-2019)";"15-74 år";"2000M07";1.7
"1129 Forsand (-2019)";"15-74 år";"2000M08";2.4
"1129 Forsand (-2019)";"15-74 år";"2000M09";2.2
"1129 Forsand (-2019)";"15-74 år";"2000M10";2.4
"1129 Forsand (-2019)";"15-74 år";"2000M11";1.9
"1129 Forsand (-2019)";"15-74 år";"2000M12";2.4
"1129 Forsand (-2019)";"15-74 år";"2001M01";1.9
"1129 Forsand (-2019)";"15-74 år";"2001M02";1.7
"1129 Forsand (-2019)";"15-74 år";"2001M03";2.3
"1129 Forsand (-2019)";"15-74 år";"2001M04";1.3
"1129 Forsand (-2019)";"15-74 år";"2001M05";1.9
"1129 Forsand (-2019)";"15-74 år";"2001M06";2.1
"1129 Forsand (-2019)";"15-74 år";"2001M07";2.3
"1129 Forsand (-2019)";"15-74 år";"2001M08";2.4
"1129 Forsand (-2019)";"15-74 år";"2001M09";1.5
"1129 Forsand (-2019)";"15-74 år";"2001M10";1.3
"1129 Forsand (-2019)";"15-74 år";"2001M11";1.3
"1129 Forsand (-2019)";"15-74 år";"2001M12";1.9
"1129 Forsand (-2019)";"15-74 år";"2002M01";1.8
"1129 Forsand (-2019)";"15-74 år";"2002M02";1.8
"1129 Forsand (-2019)";"15-74 år";"2002M03";1.6
"1129 Forsand (-2019)";"15-74 år";"2002M04";1.2
"1129 Forsand (-2019)";"15-74 år";"2002M05";1.8
"1129 Forsand (-2019)";"15-74 år";"2002M06";1.6
"1129 Forsand (-2019)";"15-74 år";"2002M07";1.8
"1129 Forsand (-2019)";"15-74 år";"2002M08";2.1
"1129 Forsand (-2019)";"15-74 år";"2002M09";3.1
"1129 Forsand (-2019)";"15-74 år";"2002M10";2.7
"1129 Forsand (-2019)";"15-74 år";"2002M11";2.5
"1129 Forsand (-2019)";"15-74 år";"2002M12";2.3
"1130 Strand";"15-74 år";"1999M01";1.6
"1130 Strand";"15-74 år";"1999M02";1.8
"1130 Strand";"15-74 år";"1999M03";1.6
"1130 Strand";"15-74 år";"1999M04";1.8
"1130 Strand";"15-74 år";"1999M05";1.4
"1130 Strand";"15-74 år";"1999M06";1.5
"1130 Strand";"15-74 år";"1999M07";2.5
"1130 Strand";"15-74 år";"1999M08";2.2
"1130 Strand";"15-74 år";"1999M09";2.1
"1130 Strand";"15-74 år";"1999M10";2.4
"1130 Strand";"15-74 år";"1999M11";2.1
"1130 Strand";"15-74 år";"1999M12";3.7
"1130 Strand";"15-74 år";"2000M01";3.1
"1130 Strand";"15-74 år";"2000M02";2.8
"1130 Strand";"15-74 år";"2000M03";2.6
"1130 Strand";"15-74 år";"2000M04";2.4
"1130 Strand";"15-74 år";"2000M05";2.6
"1130 Strand";"15-74 år";"2000M06";2.9
"1130 Strand";"15-74 år";"2000M07";3.0
"1130 Strand";"15-74 år";"2000M08";3.0
"1130 Strand";"15-74 år";"2000M09";2.6
"1130 Strand";"15-74 år";"2000M10";3.0
"1130 Strand";"15-74 år";"2000M11";3.0
"1130 Strand";"15-74 år";"2000M12";3.7
"1130 Strand";"15-74 år";"2001M01";3.9
"1130 Strand";"15-74 år";"2001M02";3.5
"1130 Strand";"15-74 år";"2001M03";3.1
"1130 Strand";"15-74 år";"2001M04";2.7
"1130 Strand";"15-74 år";"2001M05";2.0
"1130 Strand";"15-74 år";"2001M06";2.1
"1130 Strand";"15-74 år";"2001M07";2.7
"1130 Strand";"15-74 år";"2001M08";2.8
"1130 Strand";"15-74 år";"2001M09";2.5
"1130 Strand";"15-74 år";"2001M10";2.6
"1130 Strand";"15-74 år";"2001M11";2.8
"1130 Strand";"15-74 år";"2001M12";2.9
"1130 Strand";"15-74 år";"2002M01";3.6
"1130 Strand";"15-74 år";"2002M02";3.7
"1130 Strand";"15-74 år";"2002M03";3.6
"1130 Strand";"15-74 år";"2002M04";3.0
"1130 Strand";"15-74 år";"2002M05";3.0
"1130 Strand";"15-74 år";"2002M06";3.1
"1130 Strand";"15-74 år";"2002M07";3.6
"1130 Strand";"15-74 år";"2002M08";3.5
"1130 Strand";"15-74 år";"2002M09";3.1
"1130 Strand";"15-74 år";"2002M10";3.4
"1130 Strand";"15-74 år";"2002M11";3.8
"1130 Strand";"15-74 år";"2002M12";4.8
"1133 Hjelmeland";"15-74 år";"1999M01";1.0
"1133 Hjelmeland";"15-74 år";"1999M02";1.0
"1133 Hjelmeland";"15-74 år";"1999M03";1.2
"1133 Hjelmeland";"15-74 år";"1999M04";1.0
"1133 Hjelmeland";"15-74 år";"1999M05";0.6
"1133 Hjelmeland";"15-74 år";"1999M06";0.6
"1133 Hjelmeland";"15-74 år";"1999M07";1.2
"1133 Hjelmeland";"15-74 år";"1999M08";1.1
"1133 Hjelmeland";"15-74 år";"1999M09";1.0
"1133 Hjelmeland";"15-74 år";"1999M10";0.9
"1133 Hjelmeland";"15-74 år";"1999M11";0.7
"1133 Hjelmeland";"15-74 år";"1999M12";0.8
"1133 Hjelmeland";"15-74 år";"2000M01";1.9
"1133 Hjelmeland";"15-74 år";"2000M02";1.3
"1133 Hjelmeland";"15-74 år";"2000M03";1.4
"1133 Hjelmeland";"15-74 år";"2000M04";1.5
"1133 Hjelmeland";"15-74 år";"2000M05";1.5
"1133 Hjelmeland";"15-74 år";"2000M06";1.0
"1133 Hjelmeland";"15-74 år";"2000M07";1.7
"1133 Hjelmeland";"15-74 år";"2000M08";1.0
"1133 Hjelmeland";"15-74 år";"2000M09";0.8
"1133 Hjelmeland";"15-74 år";"2000M10";1.0
"1133 Hjelmeland";"15-74 år";"2000M11";1.1
"1133 Hjelmeland";"15-74 år";"2000M12";1.4
"1133 Hjelmeland";"15-74 år";"2001M01";2.0
"1133 Hjelmeland";"15-74 år";"2001M02";1.2
"1133 Hjelmeland";"15-74 år";"2001M03";1.4
"1133 Hjelmeland";"15-74 år";"2001M04";1.2
"1133 Hjelmeland";"15-74 år";"2001M05";0.6
"1133 Hjelmeland";"15-74 år";"2001M06";0.8
"1133 Hjelmeland";"15-74 år";"2001M07";0.8
"1133 Hjelmeland";"15-74 år";"2001M08";0.8
"1133 Hjelmeland";"15-74 år";"2001M09";1.0
"1133 Hjelmeland";"15-74 år";"2001M10";1.0
"1133 Hjelmeland";"15-74 år";"2001M11";1.5
"1133 Hjelmeland";"15-74 år";"2001M12";1.6
"1133 Hjelmeland";"15-74 år";"2002M01";2.5
"1133 Hjelmeland";"15-74 år";"2002M02";1.4
"1133 Hjelmeland";"15-74 år";"2002M03";1.7
"1133 Hjelmeland";"15-74 år";"2002M04";2.0
"1133 Hjelmeland";"15-74 år";"2002M05";2.2
"1133 Hjelmeland";"15-74 år";"2002M06";1.5
"1133 Hjelmeland";"15-74 år";"2002M07";1.3
"1133 Hjelmeland";"15-74 år";"2002M08";1.5
"1133 Hjelmeland";"15-74 år";"2002M09";1.6
"1133 Hjelmeland";"15-74 år";"2002M10";2.8
"1133 Hjelmeland";"15-74 år";"2002M11";1.8
"1133 Hjelmeland";"15-74 år";"2002M12";1.8
"1134 Suldal";"15-74 år";"1999M01";1.9
"1134 Suldal";"15-74 år";"1999M02";1.4
"1134 Suldal";"15-74 år";"1999M03";1.3
"1134 Suldal";"15-74 år";"1999M04";1.1
"1134 Suldal";"15-74 år";"1999M05";0.9
"1134 Suldal";"15-74 år";"1999M06";1.1
"1134 Suldal";"15-74 år";"1999M07";1.1
"1134 Suldal";"15-74 år";"1999M08";0.8
"1134 Suldal";"15-74 år";"1999M09";1.3
"1134 Suldal";"15-74 år";"1999M10";1.5
"1134 Suldal";"15-74 år";"1999M11";1.6
"1134 Suldal";"15-74 år";"1999M12";1.6
"1134 Suldal";"15-74 år";"2000M01";1.7
"1134 Suldal";"15-74 år";"2000M02";1.5
"1134 Suldal";"15-74 år";"2000M03";1.9
"1134 Suldal";"15-74 år";"2000M04";1.4
"1134 Suldal";"15-74 år";"2000M05";1.8
"1134 Suldal";"15-74 år";"2000M06";1.5
"1134 Suldal";"15-74 år";"2000M07";1.6
"1134 Suldal";"15-74 år";"2000M08";1.6
"1134 Suldal";"15-74 år";"2000M09";1.7
"1134 Suldal";"15-74 år";"2000M10";1.5
"1134 Suldal";"15-74 år";"2000M11";1.8
"1134 Suldal";"15-74 år";"2000M12";1.6
"1134 Suldal";"15-74 år";"2001M01";2.6
"1134 Suldal";"15-74 år";"2001M02";2.2
"1134 Suldal";"15-74 år";"2001M03";1.9
"1134 Suldal";"15-74 år";"2001M04";1.7
"1134 Suldal";"15-74 år";"2001M05";1.6
"1134 Suldal";"15-74 år";"2001M06";1.9
"1134 Suldal";"15-74 år";"2001M07";1.8
"1134 Suldal";"15-74 år";"2001M08";1.9
"1134 Suldal";"15-74 år";"2001M09";2.2
"1134 Suldal";"15-74 år";"2001M10";2.1
"1134 Suldal";"15-74 år";"2001M11";2.1
"1134 Suldal";"15-74 år";"2001M12";1.4
"1134 Suldal";"15-74 år";"2002M01";1.6
"1134 Suldal";"15-74 år";"2002M02";1.4
"1134 Suldal";"15-74 år";"2002M03";1.4
"1134 Suldal";"15-74 år";"2002M04";2.1
"1134 Suldal";"15-74 år";"2002M05";1.5
"1134 Suldal";"15-74 år";"2002M06";1.6
"1134 Suldal";"15-74 år";"2002M07";1.6
"1134 Suldal";"15-74 år";"2002M08";1.7
"1134 Suldal";"15-74 år";"2002M09";1.7
"1134 Suldal";"15-74 år";"2002M10";1.9
"1134 Suldal";"15-74 år";"2002M11";1.9
"1134 Suldal";"15-74 år";"2002M12";1.8
"1135 Sauda";"15-74 år";"1999M01";4.4
"1135 Sauda";"15-74 år";"1999M02";3.7
"1135 Sauda";"15-74 år";"1999M03";4.0
"1135 Sauda";"15-74 år";"1999M04";3.5
"1135 Sauda";"15-74 år";"1999M05";2.7
"1135 Sauda";"15-74 år";"1999M06";4.1
"1135 Sauda";"15-74 år";"1999M07";3.3
"1135 Sauda";"15-74 år";"1999M08";3.3
"1135 Sauda";"15-74 år";"1999M09";3.2
"1135 Sauda";"15-74 år";"1999M10";4.0
"1135 Sauda";"15-74 år";"1999M11";4.2
"1135 Sauda";"15-74 år";"1999M12";3.9
"1135 Sauda";"15-74 år";"2000M01";4.7
"1135 Sauda";"15-74 år";"2000M02";3.7
"1135 Sauda";"15-74 år";"2000M03";3.7
"1135 Sauda";"15-74 år";"2000M04";3.2
"1135 Sauda";"15-74 år";"2000M05";4.5
"1135 Sauda";"15-74 år";"2000M06";2.8
"1135 Sauda";"15-74 år";"2000M07";2.9
"1135 Sauda";"15-74 år";"2000M08";3.5
"1135 Sauda";"15-74 år";"2000M09";3.2
"1135 Sauda";"15-74 år";"2000M10";3.0
"1135 Sauda";"15-74 år";"2000M11";3.5
"1135 Sauda";"15-74 år";"2000M12";4.2
"1135 Sauda";"15-74 år";"2001M01";4.2
"1135 Sauda";"15-74 år";"2001M02";4.4
"1135 Sauda";"15-74 år";"2001M03";3.8
"1135 Sauda";"15-74 år";"2001M04";3.4
"1135 Sauda";"15-74 år";"2001M05";3.4
"1135 Sauda";"15-74 år";"2001M06";5.9
"1135 Sauda";"15-74 år";"2001M07";3.5
"1135 Sauda";"15-74 år";"2001M08";4.0
"1135 Sauda";"15-74 år";"2001M09";3.7
"1135 Sauda";"15-74 år";"2001M10";3.3
"1135 Sauda";"15-74 år";"2001M11";3.7
"1135 Sauda";"15-74 år";"2001M12";3.9
"1135 Sauda";"15-74 år";"2002M01";4.1
"1135 Sauda";"15-74 år";"2002M02";3.6
"1135 Sauda";"15-74 år";"2002M03";3.4
"1135 Sauda";"15-74 år";"2002M04";3.5
"1135 Sauda";"15-74 år";"2002M05";10.7
"1135 Sauda";"15-74 år";"2002M06";3.7
"1135 Sauda";"15-74 år";"2002M07";3.9
"1135 Sauda";"15-74 år";"2002M08";3.4
"1135 Sauda";"15-74 år";"2002M09";3.4
"1135 Sauda";"15-74 år";"2002M10";3.6
"1135 Sauda";"15-74 år";"2002M11";3.6
"1135 Sauda";"15-74 år";"2002M12";3.3
"1141 Finnøy (-2019)";"15-74 år";"1999M01";0.8
"1141 Finnøy (-2019)";"15-74 år";"1999M02";0.8
"1141 Finnøy (-2019)";"15-74 år";"1999M03";0.8
"1141 Finnøy (-2019)";"15-74 år";"1999M04";0.6
"1141 Finnøy (-2019)";"15-74 år";"1999M05";0.3
"1141 Finnøy (-2019)";"15-74 år";"1999M06";0.4
"1141 Finnøy (-2019)";"15-74 år";"1999M07";0.3
"1141 Finnøy (-2019)";"15-74 år";"1999M08";0.4
"1141 Finnøy (-2019)";"15-74 år";"1999M09";0.6
"1141 Finnøy (-2019)";"15-74 år";"1999M10";0.8
"1141 Finnøy (-2019)";"15-74 år";"1999M11";0.8
"1141 Finnøy (-2019)";"15-74 år";"1999M12";1.2
"1141 Finnøy (-2019)";"15-74 år";"2000M01";1.7
"1141 Finnøy (-2019)";"15-74 år";"2000M02";1.4
"1141 Finnøy (-2019)";"15-74 år";"2000M03";1.0
"1141 Finnøy (-2019)";"15-74 år";"2000M04";1.2
"1141 Finnøy (-2019)";"15-74 år";"2000M05";1.4
"1141 Finnøy (-2019)";"15-74 år";"2000M06";1.1
"1141 Finnøy (-2019)";"15-74 år";"2000M07";1.7
"1141 Finnøy (-2019)";"15-74 år";"2000M08";2.1
"1141 Finnøy (-2019)";"15-74 år";"2000M09";1.7
"1141 Finnøy (-2019)";"15-74 år";"2000M10";1.4
"1141 Finnøy (-2019)";"15-74 år";"2000M11";2.0
"1141 Finnøy (-2019)";"15-74 år";"2000M12";1.6
"1141 Finnøy (-2019)";"15-74 år";"2001M01";1.4
"1141 Finnøy (-2019)";"15-74 år";"2001M02";1.3
"1141 Finnøy (-2019)";"15-74 år";"2001M03";1.1
"1141 Finnøy (-2019)";"15-74 år";"2001M04";1.0
"1141 Finnøy (-2019)";"15-74 år";"2001M05";0.7
"1141 Finnøy (-2019)";"15-74 år";"2001M06";1.0
"1141 Finnøy (-2019)";"15-74 år";"2001M07";1.2
"1141 Finnøy (-2019)";"15-74 år";"2001M08";1.5
"1141 Finnøy (-2019)";"15-74 år";"2001M09";1.2
"1141 Finnøy (-2019)";"15-74 år";"2001M10";1.3
"1141 Finnøy (-2019)";"15-74 år";"2001M11";1.5
"1141 Finnøy (-2019)";"15-74 år";"2001M12";1.4
"1141 Finnøy (-2019)";"15-74 år";"2002M01";1.6
"1141 Finnøy (-2019)";"15-74 år";"2002M02";1.5
"1141 Finnøy (-2019)";"15-74 år";"2002M03";1.2
"1141 Finnøy (-2019)";"15-74 år";"2002M04";1.4
"1141 Finnøy (-2019)";"15-74 år";"2002M05";1.2
"1141 Finnøy (-2019)";"15-74 år";"2002M06";0.8
"1141 Finnøy (-2019)";"15-74 år";"2002M07";1.2
"1141 Finnøy (-2019)";"15-74 år";"2002M08";1.0
"1141 Finnøy (-2019)";"15-74 år";"2002M09";1.3
"1141 Finnøy (-2019)";"15-74 år";"2002M10";1.6
"1141 Finnøy (-2019)";"15-74 år";"2002M11";1.4
"1141 Finnøy (-2019)";"15-74 år";"2002M12";1.5
"1142 Rennesøy (-2019)";"15-74 år";"1999M01";1.2
"1142 Rennesøy (-2019)";"15-74 år";"1999M02";0.9
"1142 Rennesøy (-2019)";"15-74 år";"1999M03";1.1
"1142 Rennesøy (-2019)";"15-74 år";"1999M04";1.2
"1142 Rennesøy (-2019)";"15-74 år";"1999M05";0.8
"1142 Rennesøy (-2019)";"15-74 år";"1999M06";0.7
"1142 Rennesøy (-2019)";"15-74 år";"1999M07";1.2
"1142 Rennesøy (-2019)";"15-74 år";"1999M08";1.3
"1142 Rennesøy (-2019)";"15-74 år";"1999M09";0.9
"1142 Rennesøy (-2019)";"15-74 år";"1999M10";0.8
"1142 Rennesøy (-2019)";"15-74 år";"1999M11";1.1
"1142 Rennesøy (-2019)";"15-74 år";"1999M12";1.1
"1142 Rennesøy (-2019)";"15-74 år";"2000M01";1.7
"1142 Rennesøy (-2019)";"15-74 år";"2000M02";1.1
"1142 Rennesøy (-2019)";"15-74 år";"2000M03";1.3
"1142 Rennesøy (-2019)";"15-74 år";"2000M04";1.9
"1142 Rennesøy (-2019)";"15-74 år";"2000M05";1.4
"1142 Rennesøy (-2019)";"15-74 år";"2000M06";1.7
"1142 Rennesøy (-2019)";"15-74 år";"2000M07";1.3
"1142 Rennesøy (-2019)";"15-74 år";"2000M08";1.4
"1142 Rennesøy (-2019)";"15-74 år";"2000M09";1.3
"1142 Rennesøy (-2019)";"15-74 år";"2000M10";1.7
"1142 Rennesøy (-2019)";"15-74 år";"2000M11";1.5
"1142 Rennesøy (-2019)";"15-74 år";"2000M12";2.1
"1142 Rennesøy (-2019)";"15-74 år";"2001M01";1.8
"1142 Rennesøy (-2019)";"15-74 år";"2001M02";1.6
"1142 Rennesøy (-2019)";"15-74 år";"2001M03";1.5
"1142 Rennesøy (-2019)";"15-74 år";"2001M04";1.3
"1142 Rennesøy (-2019)";"15-74 år";"2001M05";1.0
"1142 Rennesøy (-2019)";"15-74 år";"2001M06";0.8
"1142 Rennesøy (-2019)";"15-74 år";"2001M07";1.2
"1142 Rennesøy (-2019)";"15-74 år";"2001M08";1.2
"1142 Rennesøy (-2019)";"15-74 år";"2001M09";1.4
"1142 Rennesøy (-2019)";"15-74 år";"2001M10";1.6
"1142 Rennesøy (-2019)";"15-74 år";"2001M11";2.0
"1142 Rennesøy (-2019)";"15-74 år";"2001M12";2.1
"1142 Rennesøy (-2019)";"15-74 år";"2002M01";2.8
"1142 Rennesøy (-2019)";"15-74 år";"2002M02";2.6
"1142 Rennesøy (-2019)";"15-74 år";"2002M03";2.1
"1142 Rennesøy (-2019)";"15-74 år";"2002M04";1.6
"1142 Rennesøy (-2019)";"15-74 år";"2002M05";1.3
"1142 Rennesøy (-2019)";"15-74 år";"2002M06";1.4
"1142 Rennesøy (-2019)";"15-74 år";"2002M07";1.8
"1142 Rennesøy (-2019)";"15-74 år";"2002M08";1.6
